Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,30,0.10,1.00,0.10,1,50,3800.0
100,30,0.10,1.00,0.10,1,100,3604.0
100,30,0.10,1.00,0.10,1,150,3569.0
100,30,0.10,1.00,0.10,1,200,3537.0
100,30,0.10,1.00,0.10,3,50,3685.0
100,30,0.10,1.00,0.10,3,100,3552.0
100,30,0.10,1.00,0.10,3,150,3552.0
100,30,0.10,1.00,0.10,3,200,3483.0
100,30,0.10,1.00,0.10,5,50,3739.0
100,30,0.10,1.00,0.10,5,100,3498.0
100,30,0.10,1.00,0.10,5,150,3498.0
100,30,0.10,1.00,0.10,5,200,3498.0
100,30,0.10,1.00,0.10,7,50,3718.0
100,30,0.10,1.00,0.10,7,100,3561.0
100,30,0.10,1.00,0.10,7,150,3439.0
100,30,0.10,1.00,0.10,7,200,3439.0
100,30,0.10,1.00,0.10,9,50,3689.0
100,30,0.10,1.00,0.10,9,100,3577.0
100,30,0.10,1.00,0.10,9,150,3502.0
100,30,0.10,1.00,0.10,9,200,3502.0
100,30,0.10,1.00,0.10,11,50,3535.0
100,30,0.10,1.00,0.10,11,100,3535.0
100,30,0.10,1.00,0.10,11,150,3535.0
100,30,0.10,1.00,0.10,11,200,3507.0
100,30,0.10,1.00,0.10,13,50,3646.0
100,30,0.10,1.00,0.10,13,100,3604.0
100,30,0.10,1.00,0.10,13,150,3488.0
100,30,0.10,1.00,0.10,13,200,3488.0
100,30,0.10,1.00,0.20,1,50,3983.0
100,30,0.10,1.00,0.20,1,100,3772.0
100,30,0.10,1.00,0.20,1,150,3772.0
100,30,0.10,1.00,0.20,1,200,3768.0
100,30,0.10,1.00,0.20,3,50,4091.0
100,30,0.10,1.00,0.20,3,100,3784.0
100,30,0.10,1.00,0.20,3,150,3784.0
100,30,0.10,1.00,0.20,3,200,3728.0
100,30,0.10,1.00,0.20,5,50,4028.0
100,30,0.10,1.00,0.20,5,100,3783.0
100,30,0.10,1.00,0.20,5,150,3733.0
100,30,0.10,1.00,0.20,5,200,3678.0
100,30,0.10,1.00,0.20,7,50,4003.0
100,30,0.10,1.00,0.20,7,100,3787.0
100,30,0.10,1.00,0.20,7,150,3787.0
100,30,0.10,1.00,0.20,7,200,3617.0
100,30,0.10,1.00,0.20,9,50,3928.0
100,30,0.10,1.00,0.20,9,100,3860.0
100,30,0.10,1.00,0.20,9,150,3717.0
100,30,0.10,1.00,0.20,9,200,3670.0
100,30,0.10,1.00,0.20,11,50,3951.0
100,30,0.10,1.00,0.20,11,100,3899.0
100,30,0.10,1.00,0.20,11,150,3751.0
100,30,0.10,1.00,0.20,11,200,3751.0
100,30,0.10,1.00,0.20,13,50,4021.0
100,30,0.10,1.00,0.20,13,100,3834.0
100,30,0.10,1.00,0.20,13,150,3625.0
100,30,0.10,1.00,0.20,13,200,3625.0
100,30,0.10,1.00,0.30,1,50,4258.0
100,30,0.10,1.00,0.30,1,100,3986.0
100,30,0.10,1.00,0.30,1,150,3927.0
100,30,0.10,1.00,0.30,1,200,3927.0
