Dataset Size,Mutation Rate,Population,Iterations,Result
100,0.01,50,1000,2465.67
100,0.01,50,4000,2225.27
100,0.01,50,7000,2211.44
100,0.01,50,10000,2211.44
100,0.01,100,1000,2397.41
100,0.01,100,4000,2393.88
100,0.01,100,7000,2393.88
100,0.01,100,10000,2393.88
100,0.01,150,1000,2178.16
100,0.01,150,4000,2053.59
100,0.01,150,7000,2053.59
100,0.01,150,10000,2053.59
100,0.01,200,1000,2132.67
100,0.01,200,4000,1989.67
100,0.01,200,7000,1989.67
100,0.01,200,10000,1989.67
100,0.01,250,1000,2027.43
100,0.01,250,4000,2027.43
100,0.01,250,7000,2025.82
100,0.01,250,10000,2024.17
100,0.02,50,1000,2386.11
100,0.02,50,4000,2122.79
100,0.02,50,7000,2122.39
100,0.02,50,10000,2121.53
100,0.02,100,1000,2259.45
100,0.02,100,4000,2198.33
100,0.02,100,7000,2198.33
100,0.02,100,10000,2198.33
100,0.02,150,1000,2266.15
100,0.02,150,4000,2074.66
100,0.02,150,7000,2074.66
100,0.02,150,10000,2074.66
100,0.02,200,1000,2128.72
100,0.02,200,4000,2031.92
100,0.02,200,7000,2017.48
100,0.02,200,10000,2017.48
100,0.02,250,1000,2077.04
100,0.02,250,4000,1927.41
100,0.02,250,7000,1927.41
100,0.02,250,10000,1907.66
100,0.03,50,1000,2317.47
100,0.03,50,4000,2247.61
100,0.03,50,7000,2247.61
100,0.03,50,10000,2247.61
100,0.03,100,1000,2310.45
100,0.03,100,4000,1969.13
100,0.03,100,7000,1958.29
100,0.03,100,10000,1958.29
100,0.03,150,1000,2117.26
100,0.03,150,4000,1974.53
100,0.03,150,7000,1950.37
100,0.03,150,10000,1950.37
100,0.03,200,1000,2083.96
100,0.03,200,4000,1892.77
100,0.03,200,7000,1883.32
100,0.03,200,10000,1883.32
100,0.03,250,1000,2119.46
100,0.03,250,4000,2007.33
100,0.03,250,7000,2007.33
100,0.03,250,10000,2007.33
100,0.04,50,1000,2329.11
100,0.04,50,4000,2120.1
100,0.04,50,7000,2120.1
100,0.04,50,10000,2120.1
100,0.04,100,1000,2204.62
100,0.04,100,4000,2178.43
100,0.04,100,7000,2151.58
100,0.04,100,10000,2149.96
100,0.04,150,1000,2074.94
100,0.04,150,4000,1937.67
100,0.04,150,7000,1930.96
100,0.04,150,10000,1930.96
100,0.04,200,1000,2141.99
100,0.04,200,4000,2085.97
100,0.04,200,7000,2081.67
100,0.04,200,10000,1988.05
100,0.04,250,1000,2087.95
100,0.04,250,4000,1973.04
100,0.04,250,7000,1960.63
100,0.04,250,10000,1960.63
100,0.05,50,1000,2448.58
100,0.05,50,4000,2139.85
100,0.05,50,7000,2081.45
100,0.05,50,10000,2081.45
100,0.05,100,1000,2339.67
100,0.05,100,4000,2128.97
100,0.05,100,7000,2106.18
100,0.05,100,10000,2106.18
100,0.05,150,1000,2198.9
100,0.05,150,4000,2190.04
100,0.05,150,7000,2180.58
100,0.05,150,10000,2180.58
100,0.05,200,1000,2083.97
100,0.05,200,4000,2024.45
100,0.05,200,7000,2024.45
100,0.05,200,10000,2010.19
100,0.05,250,1000,2081.35
100,0.05,250,4000,1966.46
100,0.05,250,7000,1966.34
100,0.05,250,10000,1966.34
100,0.06,50,1000,2303.18
100,0.06,50,4000,2173.23
100,0.06,50,7000,2173.23
100,0.06,50,10000,2173.23
100,0.06,100,1000,2227.5
100,0.06,100,4000,2001.16
100,0.06,100,7000,2001.16
100,0.06,100,10000,2001.16
100,0.06,150,1000,2143.57
100,0.06,150,4000,2129.02
100,0.06,150,7000,2070.62
100,0.06,150,10000,2042.86
100,0.06,200,1000,2089.32
100,0.06,200,4000,1971.18
100,0.06,200,7000,1892.73
100,0.06,200,10000,1892.73
100,0.06,250,1000,2032.67
100,0.06,250,4000,2013.76
100,0.06,250,7000,2013.76
100,0.06,250,10000,1971.85
100,0.07,50,1000,2187.02
100,0.07,50,4000,2094.62
100,0.07,50,7000,2094.62
100,0.07,50,10000,2094.62
100,0.07,100,1000,2268.52
100,0.07,100,4000,2236.31
100,0.07,100,7000,2236.31
100,0.07,100,10000,2214.26
100,0.07,150,1000,2064.61
100,0.07,150,4000,1994.36
100,0.07,150,7000,1990.72
100,0.07,150,10000,1990.72
100,0.07,200,1000,2041.15
100,0.07,200,4000,1960.61
100,0.07,200,7000,1948.48
100,0.07,200,10000,1948.48
100,0.07,250,1000,2117.02
100,0.07,250,4000,1949.89
100,0.07,250,7000,1949.89
100,0.07,250,10000,1910.43
100,0.08,50,1000,2379.01
100,0.08,50,4000,2120.73
100,0.08,50,7000,2118.56
100,0.08,50,10000,2118.56
100,0.08,100,1000,2143.59
100,0.08,100,4000,2004.57
100,0.08,100,7000,1986.25
