Dataset Size,Alpha,Iterations,Result
100,0.00,1000,1809.92
100,0.00,4000,1809.92
100,0.00,7000,1809.92
100,0.00,10000,1809.92
100,0.01,1000,1809.92
100,0.01,4000,1803.15
100,0.01,7000,1803.15
100,0.01,10000,1803.15
100,0.02,1000,1804.46
100,0.02,4000,1804.46
100,0.02,7000,1802.7
100,0.02,10000,1802.7
100,0.03,1000,1807.98
100,0.03,4000,1799.43
100,0.03,7000,1799.43
100,0.03,10000,1799.43
100,0.04,1000,1806.83
100,0.04,4000,1803.1
100,0.04,7000,1802.7
100,0.04,10000,1802.7
100,0.05,1000,1804.82
100,0.05,4000,1804.19
100,0.05,7000,1804.19
100,0.05,10000,1804.19
100,0.06,1000,1805.9
100,0.06,4000,1800.32
100,0.06,7000,1800.32
100,0.06,10000,1800.32
100,0.07,1000,1809.79
100,0.07,4000,1804.24
100,0.07,7000,1804.24
100,0.07,10000,1804.24
100,0.08,1000,1810.02
100,0.08,4000,1806.69
100,0.08,7000,1805.57
100,0.08,10000,1805.57
100,0.09,1000,1814.23
100,0.09,4000,1807.78
100,0.09,7000,1807.78
100,0.09,10000,1804.22
100,0.10,1000,1810.07
100,0.10,4000,1810.07
100,0.10,7000,1809.32
100,0.10,10000,1805.66
100,0.11,1000,1820.07
100,0.11,4000,1807.97
100,0.11,7000,1803.23
100,0.11,10000,1803.23
100,0.12,1000,1815.44
100,0.12,4000,1804.6
100,0.12,7000,1804.6
100,0.12,10000,1804.6
100,0.13,1000,1817.1
100,0.13,4000,1804.54
100,0.13,7000,1804.54
100,0.13,10000,1804.54
100,0.14,1000,1813.54
100,0.14,4000,1808.81
100,0.14,7000,1807.81
100,0.14,10000,1807.81
100,0.15,1000,1821.05
100,0.15,4000,1815.05
100,0.15,7000,1811.87
100,0.15,10000,1811.87
100,0.16,1000,1820.71
100,0.16,4000,1806.35
100,0.16,7000,1806.35
100,0.16,10000,1806.35
100,0.17,1000,1818.41
100,0.17,4000,1798.5
100,0.17,7000,1798.5
100,0.17,10000,1798.5
100,0.18,1000,1817.99
100,0.18,4000,1807.16
100,0.18,7000,1807.16
100,0.18,10000,1807.16
100,0.19,1000,1813.23
100,0.19,4000,1807.33
100,0.19,7000,1799.84
100,0.19,10000,1799.84
100,0.20,1000,1814.43
100,0.20,4000,1812.94
100,0.20,7000,1810.01
100,0.20,10000,1810.01
100,0.21,1000,1821.72
100,0.21,4000,1815.83
100,0.21,7000,1809.69
100,0.21,10000,1809.69
100,0.22,1000,1817.07
100,0.22,4000,1801.22
100,0.22,7000,1801.22
100,0.22,10000,1801.22
100,0.23,1000,1805.97
100,0.23,4000,1805.97
100,0.23,7000,1805.97
100,0.23,10000,1805.3
100,0.24,1000,1818.17
100,0.24,4000,1810.33
100,0.24,7000,1810.33
100,0.24,10000,1806.68
100,0.25,1000,1811.57
100,0.25,4000,1796.81
100,0.25,7000,1796.81
100,0.25,10000,1796.81
100,0.26,1000,1809.09
100,0.26,4000,1808.55
100,0.26,7000,1808.34
100,0.26,10000,1808.34
100,0.27,1000,1817.57
100,0.27,4000,1803.71
100,0.27,7000,1803.71
100,0.27,10000,1803.71
100,0.28,1000,1813.95
100,0.28,4000,1810.33
100,0.28,7000,1810.33
100,0.28,10000,1810.33
100,0.29,1000,1818.12
100,0.29,4000,1812.32
100,0.29,7000,1812.32
100,0.29,10000,1812.32
100,0.30,1000,1819.38
100,0.30,4000,1813.31
100,0.30,7000,1813.31
100,0.30,10000,1807.53
100,0.31,1000,1809.17
100,0.31,4000,1804.4
100,0.31,7000,1804.4
100,0.31,10000,1804.4
100,0.32,1000,1808.14
100,0.32,4000,1808.14
100,0.32,7000,1801.45
100,0.32,10000,1798.61
100,0.33,1000,1817.76
100,0.33,4000,1807.81
100,0.33,7000,1807.81
100,0.33,10000,1807.81
100,0.34,1000,1821.59
100,0.34,4000,1816.82
100,0.34,7000,1796.81
100,0.34,10000,1796.81
100,0.35,1000,1830.82
100,0.35,4000,1813.82
100,0.35,7000,1805.52
100,0.35,10000,1805.52
100,0.36,1000,1822.55
100,0.36,4000,1810.51
100,0.36,7000,1810.51
100,0.36,10000,1810.51
100,0.37,1000,1824.02
100,0.37,4000,1807.34
100,0.37,7000,1804.85
100,0.37,10000,1804.85
100,0.38,1000,1810.45
100,0.38,4000,1807.99
100,0.38,7000,1807.99
100,0.38,10000,1807.99
100,0.39,1000,1814.06
100,0.39,4000,1812.14
100,0.39,7000,1796.82
100,0.39,10000,1796.82
100,0.40,1000,1812.46
100,0.40,4000,1812.46
100,0.40,7000,1810.32
100,0.40,10000,1802.27
100,0.41,1000,1820.35
100,0.41,4000,1809.17
100,0.41,7000,1806.99
100,0.41,10000,1803.25
100,0.42,1000,1809.6
100,0.42,4000,1800.32
100,0.42,7000,1800.32
100,0.42,10000,1800.32
100,0.43,1000,1814.23
100,0.43,4000,1813.27
100,0.43,7000,1808.0
100,0.43,10000,1803.71
100,0.44,1000,1821.83
100,0.44,4000,1807.34
100,0.44,7000,1807.34
100,0.44,10000,1807.34
100,0.45,1000,1813.25
100,0.45,4000,1812.76
100,0.45,7000,1804.24
100,0.45,10000,1804.24
100,0.46,1000,1826.1
100,0.46,4000,1808.12
100,0.46,7000,1804.98
100,0.46,10000,1804.98
100,0.47,1000,1808.98
100,0.47,4000,1805.66
100,0.47,7000,1805.66
100,0.47,10000,1805.66
100,0.48,1000,1809.59
100,0.48,4000,1809.59
100,0.48,7000,1808.02
100,0.48,10000,1808.02
100,0.49,1000,1815.65
100,0.49,4000,1815.65
100,0.49,7000,1807.1
