Running GRASP with dataset_size=100, alpha=0.00, iterations=1000
Running GRASP with dataset_size=100, alpha=0.00, iterations=4000
Running GRASP with dataset_size=100, alpha=0.00, iterations=7000
Running GRASP with dataset_size=100, alpha=0.00, iterations=10000
Running GRASP with dataset_size=100, alpha=0.01, iterations=1000
Running GRASP with dataset_size=100, alpha=0.01, iterations=4000
Running GRASP with dataset_size=100, alpha=0.01, iterations=7000
Running GRASP with dataset_size=100, alpha=0.01, iterations=10000
Running GRASP with dataset_size=100, alpha=0.02, iterations=1000
Running GRASP with dataset_size=100, alpha=0.02, iterations=4000
Running GRASP with dataset_size=100, alpha=0.02, iterations=7000
Running GRASP with dataset_size=100, alpha=0.02, iterations=10000
Running GRASP with dataset_size=100, alpha=0.03, iterations=1000
Running GRASP with dataset_size=100, alpha=0.03, iterations=4000
Running GRASP with dataset_size=100, alpha=0.03, iterations=7000
Running GRASP with dataset_size=100, alpha=0.03, iterations=10000
Running GRASP with dataset_size=100, alpha=0.04, iterations=1000
Running GRASP with dataset_size=100, alpha=0.04, iterations=4000
Running GRASP with dataset_size=100, alpha=0.04, iterations=7000
Running GRASP with dataset_size=100, alpha=0.04, iterations=10000
Running GRASP with dataset_size=100, alpha=0.05, iterations=1000
Running GRASP with dataset_size=100, alpha=0.05, iterations=4000
Running GRASP with dataset_size=100, alpha=0.05, iterations=7000
Running GRASP with dataset_size=100, alpha=0.05, iterations=10000
Running GRASP with dataset_size=100, alpha=0.06, iterations=1000
Running GRASP with dataset_size=100, alpha=0.06, iterations=4000
Running GRASP with dataset_size=100, alpha=0.06, iterations=7000
Running GRASP with dataset_size=100, alpha=0.06, iterations=10000
Running GRASP with dataset_size=100, alpha=0.07, iterations=1000
Running GRASP with dataset_size=100, alpha=0.07, iterations=4000
Running GRASP with dataset_size=100, alpha=0.07, iterations=7000
Running GRASP with dataset_size=100, alpha=0.07, iterations=10000
Running GRASP with dataset_size=100, alpha=0.08, iterations=1000
Running GRASP with dataset_size=100, alpha=0.08, iterations=4000
Running GRASP with dataset_size=100, alpha=0.08, iterations=7000
Running GRASP with dataset_size=100, alpha=0.08, iterations=10000
Running GRASP with dataset_size=100, alpha=0.09, iterations=1000
Running GRASP with dataset_size=100, alpha=0.09, iterations=4000
Running GRASP with dataset_size=100, alpha=0.09, iterations=7000
Running GRASP with dataset_size=100, alpha=0.09, iterations=10000
Running GRASP with dataset_size=100, alpha=0.10, iterations=1000
Running GRASP with dataset_size=100, alpha=0.10, iterations=4000
Running GRASP with dataset_size=100, alpha=0.10, iterations=7000
Running GRASP with dataset_size=100, alpha=0.10, iterations=10000
Running GRASP with dataset_size=100, alpha=0.11, iterations=1000
Running GRASP with dataset_size=100, alpha=0.11, iterations=4000
Running GRASP with dataset_size=100, alpha=0.11, iterations=7000
Running GRASP with dataset_size=100, alpha=0.11, iterations=10000
Running GRASP with dataset_size=100, alpha=0.12, iterations=1000
Running GRASP with dataset_size=100, alpha=0.12, iterations=4000
Running GRASP with dataset_size=100, alpha=0.12, iterations=7000
Running GRASP with dataset_size=100, alpha=0.12, iterations=10000
Running GRASP with dataset_size=100, alpha=0.13, iterations=1000
Running GRASP with dataset_size=100, alpha=0.13, iterations=4000
Running GRASP with dataset_size=100, alpha=0.13, iterations=7000
Running GRASP with dataset_size=100, alpha=0.13, iterations=10000
Running GRASP with dataset_size=100, alpha=0.14, iterations=1000
Running GRASP with dataset_size=100, alpha=0.14, iterations=4000
Running GRASP with dataset_size=100, alpha=0.14, iterations=7000
Running GRASP with dataset_size=100, alpha=0.14, iterations=10000
Running GRASP with dataset_size=100, alpha=0.15, iterations=1000
Running GRASP with dataset_size=100, alpha=0.15, iterations=4000
Running GRASP with dataset_size=100, alpha=0.15, iterations=7000
Running GRASP with dataset_size=100, alpha=0.15, iterations=10000
Running GRASP with dataset_size=100, alpha=0.16, iterations=1000
Running GRASP with dataset_size=100, alpha=0.16, iterations=4000
Running GRASP with dataset_size=100, alpha=0.16, iterations=7000
Running GRASP with dataset_size=100, alpha=0.16, iterations=10000
Running GRASP with dataset_size=100, alpha=0.17, iterations=1000
Running GRASP with dataset_size=100, alpha=0.17, iterations=4000
Running GRASP with dataset_size=100, alpha=0.17, iterations=7000
Running GRASP with dataset_size=100, alpha=0.17, iterations=10000
Running GRASP with dataset_size=100, alpha=0.18, iterations=1000
Running GRASP with dataset_size=100, alpha=0.18, iterations=4000
Running GRASP with dataset_size=100, alpha=0.18, iterations=7000
Running GRASP with dataset_size=100, alpha=0.18, iterations=10000
Running GRASP with dataset_size=100, alpha=0.19, iterations=1000
Running GRASP with dataset_size=100, alpha=0.19, iterations=4000
Running GRASP with dataset_size=100, alpha=0.19, iterations=7000
Running GRASP with dataset_size=100, alpha=0.19, iterations=10000
Running GRASP with dataset_size=100, alpha=0.20, iterations=1000
Running GRASP with dataset_size=100, alpha=0.20, iterations=4000
Running GRASP with dataset_size=100, alpha=0.20, iterations=7000
Running GRASP with dataset_size=100, alpha=0.20, iterations=10000
Running GRASP with dataset_size=100, alpha=0.21, iterations=1000
Running GRASP with dataset_size=100, alpha=0.21, iterations=4000
Running GRASP with dataset_size=100, alpha=0.21, iterations=7000
Running GRASP with dataset_size=100, alpha=0.21, iterations=10000
Running GRASP with dataset_size=100, alpha=0.22, iterations=1000
Running GRASP with dataset_size=100, alpha=0.22, iterations=4000
Running GRASP with dataset_size=100, alpha=0.22, iterations=7000
Running GRASP with dataset_size=100, alpha=0.22, iterations=10000
Running GRASP with dataset_size=100, alpha=0.23, iterations=1000
Running GRASP with dataset_size=100, alpha=0.23, iterations=4000
Running GRASP with dataset_size=100, alpha=0.23, iterations=7000
Running GRASP with dataset_size=100, alpha=0.23, iterations=10000
Running GRASP with dataset_size=100, alpha=0.24, iterations=1000
Running GRASP with dataset_size=100, alpha=0.24, iterations=4000
Running GRASP with dataset_size=100, alpha=0.24, iterations=7000
Running GRASP with dataset_size=100, alpha=0.24, iterations=10000
Running GRASP with dataset_size=100, alpha=0.25, iterations=1000
Running GRASP with dataset_size=100, alpha=0.25, iterations=4000
Running GRASP with dataset_size=100, alpha=0.25, iterations=7000
Running GRASP with dataset_size=100, alpha=0.25, iterations=10000
Running GRASP with dataset_size=100, alpha=0.26, iterations=1000
Running GRASP with dataset_size=100, alpha=0.26, iterations=4000
Running GRASP with dataset_size=100, alpha=0.26, iterations=7000
Running GRASP with dataset_size=100, alpha=0.26, iterations=10000
Running GRASP with dataset_size=100, alpha=0.27, iterations=1000
Running GRASP with dataset_size=100, alpha=0.27, iterations=4000
Running GRASP with dataset_size=100, alpha=0.27, iterations=7000
Running GRASP with dataset_size=100, alpha=0.27, iterations=10000
Running GRASP with dataset_size=100, alpha=0.28, iterations=1000
Running GRASP with dataset_size=100, alpha=0.28, iterations=4000
Running GRASP with dataset_size=100, alpha=0.28, iterations=7000
Running GRASP with dataset_size=100, alpha=0.28, iterations=10000
Running GRASP with dataset_size=100, alpha=0.29, iterations=1000
Running GRASP with dataset_size=100, alpha=0.29, iterations=4000
Running GRASP with dataset_size=100, alpha=0.29, iterations=7000
Running GRASP with dataset_size=100, alpha=0.29, iterations=10000
Running GRASP with dataset_size=100, alpha=0.30, iterations=1000
Running GRASP with dataset_size=100, alpha=0.30, iterations=4000
Running GRASP with dataset_size=100, alpha=0.30, iterations=7000
Running GRASP with dataset_size=100, alpha=0.30, iterations=10000
Running GRASP with dataset_size=100, alpha=0.31, iterations=1000
Running GRASP with dataset_size=100, alpha=0.31, iterations=4000
Running GRASP with dataset_size=100, alpha=0.31, iterations=7000
Running GRASP with dataset_size=100, alpha=0.31, iterations=10000
Running GRASP with dataset_size=100, alpha=0.32, iterations=1000
Running GRASP with dataset_size=100, alpha=0.32, iterations=4000
Running GRASP with dataset_size=100, alpha=0.32, iterations=7000
Running GRASP with dataset_size=100, alpha=0.32, iterations=10000
Running GRASP with dataset_size=100, alpha=0.33, iterations=1000
Running GRASP with dataset_size=100, alpha=0.33, iterations=4000
Running GRASP with dataset_size=100, alpha=0.33, iterations=7000
Running GRASP with dataset_size=100, alpha=0.33, iterations=10000
Running GRASP with dataset_size=100, alpha=0.34, iterations=1000
Running GRASP with dataset_size=100, alpha=0.34, iterations=4000
Running GRASP with dataset_size=100, alpha=0.34, iterations=7000
Running GRASP with dataset_size=100, alpha=0.34, iterations=10000
Running GRASP with dataset_size=100, alpha=0.35, iterations=1000
Running GRASP with dataset_size=100, alpha=0.35, iterations=4000
Running GRASP with dataset_size=100, alpha=0.35, iterations=7000
Running GRASP with dataset_size=100, alpha=0.35, iterations=10000
Running GRASP with dataset_size=100, alpha=0.36, iterations=1000
Running GRASP with dataset_size=100, alpha=0.36, iterations=4000
Running GRASP with dataset_size=100, alpha=0.36, iterations=7000
Running GRASP with dataset_size=100, alpha=0.36, iterations=10000
Running GRASP with dataset_size=100, alpha=0.37, iterations=1000
Running GRASP with dataset_size=100, alpha=0.37, iterations=4000
Running GRASP with dataset_size=100, alpha=0.37, iterations=7000
Running GRASP with dataset_size=100, alpha=0.37, iterations=10000
Running GRASP with dataset_size=100, alpha=0.38, iterations=1000
Running GRASP with dataset_size=100, alpha=0.38, iterations=4000
Running GRASP with dataset_size=100, alpha=0.38, iterations=7000
Running GRASP with dataset_size=100, alpha=0.38, iterations=10000
Running GRASP with dataset_size=100, alpha=0.39, iterations=1000
Running GRASP with dataset_size=100, alpha=0.39, iterations=4000
Running GRASP with dataset_size=100, alpha=0.39, iterations=7000
Running GRASP with dataset_size=100, alpha=0.39, iterations=10000
Running GRASP with dataset_size=100, alpha=0.40, iterations=1000
Running GRASP with dataset_size=100, alpha=0.40, iterations=4000
Running GRASP with dataset_size=100, alpha=0.40, iterations=7000
Running GRASP with dataset_size=100, alpha=0.40, iterations=10000
Running GRASP with dataset_size=100, alpha=0.41, iterations=1000
Running GRASP with dataset_size=100, alpha=0.41, iterations=4000
Running GRASP with dataset_size=100, alpha=0.41, iterations=7000
Running GRASP with dataset_size=100, alpha=0.41, iterations=10000
Running GRASP with dataset_size=100, alpha=0.42, iterations=1000
Running GRASP with dataset_size=100, alpha=0.42, iterations=4000
Running GRASP with dataset_size=100, alpha=0.42, iterations=7000
Running GRASP with dataset_size=100, alpha=0.42, iterations=10000
Running GRASP with dataset_size=100, alpha=0.43, iterations=1000
Running GRASP with dataset_size=100, alpha=0.43, iterations=4000
Running GRASP with dataset_size=100, alpha=0.43, iterations=7000
Running GRASP with dataset_size=100, alpha=0.43, iterations=10000
Running GRASP with dataset_size=100, alpha=0.44, iterations=1000
Running GRASP with dataset_size=100, alpha=0.44, iterations=4000
Running GRASP with dataset_size=100, alpha=0.44, iterations=7000
Running GRASP with dataset_size=100, alpha=0.44, iterations=10000
Running GRASP with dataset_size=100, alpha=0.45, iterations=1000
Running GRASP with dataset_size=100, alpha=0.45, iterations=4000
Running GRASP with dataset_size=100, alpha=0.45, iterations=7000
Running GRASP with dataset_size=100, alpha=0.45, iterations=10000
Running GRASP with dataset_size=100, alpha=0.46, iterations=1000
Running GRASP with dataset_size=100, alpha=0.46, iterations=4000
Running GRASP with dataset_size=100, alpha=0.46, iterations=7000
Running GRASP with dataset_size=100, alpha=0.46, iterations=10000
Running GRASP with dataset_size=100, alpha=0.47, iterations=1000
Running GRASP with dataset_size=100, alpha=0.47, iterations=4000
Running GRASP with dataset_size=100, alpha=0.47, iterations=7000
Running GRASP with dataset_size=100, alpha=0.47, iterations=10000
Running GRASP with dataset_size=100, alpha=0.48, iterations=1000
Running GRASP with dataset_size=100, alpha=0.48, iterations=4000
Running GRASP with dataset_size=100, alpha=0.48, iterations=7000
Running GRASP with dataset_size=100, alpha=0.48, iterations=10000
Running GRASP with dataset_size=100, alpha=0.49, iterations=1000
Running GRASP with dataset_size=100, alpha=0.49, iterations=4000
Running GRASP with dataset_size=100, alpha=0.49, iterations=7000
Running GRASP with dataset_size=100, alpha=0.49, iterations=10000
Running GRASP with dataset_size=100, alpha=0.50, iterations=1000
Running GRASP with dataset_size=100, alpha=0.50, iterations=4000
Running GRASP with dataset_size=100, alpha=0.50, iterations=7000
Running GRASP with dataset_size=100, alpha=0.50, iterations=10000
Running GRASP with dataset_size=100, alpha=0.51, iterations=1000
Running GRASP with dataset_size=100, alpha=0.51, iterations=4000
Running GRASP with dataset_size=100, alpha=0.51, iterations=7000
Running GRASP with dataset_size=100, alpha=0.51, iterations=10000
Running GRASP with dataset_size=100, alpha=0.52, iterations=1000
Running GRASP with dataset_size=100, alpha=0.52, iterations=4000
Running GRASP with dataset_size=100, alpha=0.52, iterations=7000
Running GRASP with dataset_size=100, alpha=0.52, iterations=10000
Running GRASP with dataset_size=100, alpha=0.53, iterations=1000
Running GRASP with dataset_size=100, alpha=0.53, iterations=4000
Running GRASP with dataset_size=100, alpha=0.53, iterations=7000
Running GRASP with dataset_size=100, alpha=0.53, iterations=10000
Running GRASP with dataset_size=100, alpha=0.54, iterations=1000
Running GRASP with dataset_size=100, alpha=0.54, iterations=4000
Running GRASP with dataset_size=100, alpha=0.54, iterations=7000
Running GRASP with dataset_size=100, alpha=0.54, iterations=10000
Running GRASP with dataset_size=100, alpha=0.55, iterations=1000
Running GRASP with dataset_size=100, alpha=0.55, iterations=4000
Running GRASP with dataset_size=100, alpha=0.55, iterations=7000
Running GRASP with dataset_size=100, alpha=0.55, iterations=10000
Running GRASP with dataset_size=100, alpha=0.56, iterations=1000
Running GRASP with dataset_size=100, alpha=0.56, iterations=4000
Running GRASP with dataset_size=100, alpha=0.56, iterations=7000
Running GRASP with dataset_size=100, alpha=0.56, iterations=10000
Running GRASP with dataset_size=100, alpha=0.57, iterations=1000
Running GRASP with dataset_size=100, alpha=0.57, iterations=4000
Running GRASP with dataset_size=100, alpha=0.57, iterations=7000
Running GRASP with dataset_size=100, alpha=0.57, iterations=10000
Running GRASP with dataset_size=100, alpha=0.58, iterations=1000
Running GRASP with dataset_size=100, alpha=0.58, iterations=4000
Running GRASP with dataset_size=100, alpha=0.58, iterations=7000
Running GRASP with dataset_size=100, alpha=0.58, iterations=10000
Running GRASP with dataset_size=100, alpha=0.59, iterations=1000
Running GRASP with dataset_size=100, alpha=0.59, iterations=4000
Running GRASP with dataset_size=100, alpha=0.59, iterations=7000
Running GRASP with dataset_size=100, alpha=0.59, iterations=10000
Running GRASP with dataset_size=100, alpha=0.60, iterations=1000
Running GRASP with dataset_size=100, alpha=0.60, iterations=4000
Running GRASP with dataset_size=100, alpha=0.60, iterations=7000
Running GRASP with dataset_size=100, alpha=0.60, iterations=10000
Running GRASP with dataset_size=100, alpha=0.61, iterations=1000
Running GRASP with dataset_size=100, alpha=0.61, iterations=4000
Running GRASP with dataset_size=100, alpha=0.61, iterations=7000
Running GRASP with dataset_size=100, alpha=0.61, iterations=10000
Running GRASP with dataset_size=100, alpha=0.62, iterations=1000
Running GRASP with dataset_size=100, alpha=0.62, iterations=4000
Running GRASP with dataset_size=100, alpha=0.62, iterations=7000
Running GRASP with dataset_size=100, alpha=0.62, iterations=10000
Running GRASP with dataset_size=100, alpha=0.63, iterations=1000
Running GRASP with dataset_size=100, alpha=0.63, iterations=4000
Running GRASP with dataset_size=100, alpha=0.63, iterations=7000
Running GRASP with dataset_size=100, alpha=0.63, iterations=10000
Running GRASP with dataset_size=100, alpha=0.64, iterations=1000
Running GRASP with dataset_size=100, alpha=0.64, iterations=4000
Running GRASP with dataset_size=100, alpha=0.64, iterations=7000
Running GRASP with dataset_size=100, alpha=0.64, iterations=10000
Running GRASP with dataset_size=100, alpha=0.65, iterations=1000
Running GRASP with dataset_size=100, alpha=0.65, iterations=4000
Running GRASP with dataset_size=100, alpha=0.65, iterations=7000
Running GRASP with dataset_size=100, alpha=0.65, iterations=10000
Running GRASP with dataset_size=100, alpha=0.66, iterations=1000
Running GRASP with dataset_size=100, alpha=0.66, iterations=4000
Running GRASP with dataset_size=100, alpha=0.66, iterations=7000
Running GRASP with dataset_size=100, alpha=0.66, iterations=10000
Running GRASP with dataset_size=100, alpha=0.67, iterations=1000
Running GRASP with dataset_size=100, alpha=0.67, iterations=4000
Running GRASP with dataset_size=100, alpha=0.67, iterations=7000
Running GRASP with dataset_size=100, alpha=0.67, iterations=10000
Running GRASP with dataset_size=100, alpha=0.68, iterations=1000
Running GRASP with dataset_size=100, alpha=0.68, iterations=4000
Running GRASP with dataset_size=100, alpha=0.68, iterations=7000
Running GRASP with dataset_size=100, alpha=0.68, iterations=10000
Running GRASP with dataset_size=100, alpha=0.69, iterations=1000
Running GRASP with dataset_size=100, alpha=0.69, iterations=4000
Running GRASP with dataset_size=100, alpha=0.69, iterations=7000
Running GRASP with dataset_size=100, alpha=0.69, iterations=10000
Running GRASP with dataset_size=100, alpha=0.70, iterations=1000
Running GRASP with dataset_size=100, alpha=0.70, iterations=4000
Running GRASP with dataset_size=100, alpha=0.70, iterations=7000
Running GRASP with dataset_size=100, alpha=0.70, iterations=10000
Running GRASP with dataset_size=100, alpha=0.71, iterations=1000
Running GRASP with dataset_size=100, alpha=0.71, iterations=4000
Running GRASP with dataset_size=100, alpha=0.71, iterations=7000
Running GRASP with dataset_size=100, alpha=0.71, iterations=10000
Running GRASP with dataset_size=100, alpha=0.72, iterations=1000
Running GRASP with dataset_size=100, alpha=0.72, iterations=4000
Running GRASP with dataset_size=100, alpha=0.72, iterations=7000
Running GRASP with dataset_size=100, alpha=0.72, iterations=10000
Running GRASP with dataset_size=100, alpha=0.73, iterations=1000
Running GRASP with dataset_size=100, alpha=0.73, iterations=4000
Running GRASP with dataset_size=100, alpha=0.73, iterations=7000
Running GRASP with dataset_size=100, alpha=0.73, iterations=10000
Running GRASP with dataset_size=100, alpha=0.74, iterations=1000
Running GRASP with dataset_size=100, alpha=0.74, iterations=4000
Running GRASP with dataset_size=100, alpha=0.74, iterations=7000
Running GRASP with dataset_size=100, alpha=0.74, iterations=10000
Running GRASP with dataset_size=100, alpha=0.75, iterations=1000
Running GRASP with dataset_size=100, alpha=0.75, iterations=4000
Running GRASP with dataset_size=100, alpha=0.75, iterations=7000
Running GRASP with dataset_size=100, alpha=0.75, iterations=10000
Running GRASP with dataset_size=100, alpha=0.76, iterations=1000
Running GRASP with dataset_size=100, alpha=0.76, iterations=4000
Running GRASP with dataset_size=100, alpha=0.76, iterations=7000
Running GRASP with dataset_size=100, alpha=0.76, iterations=10000
Running GRASP with dataset_size=100, alpha=0.77, iterations=1000
Running GRASP with dataset_size=100, alpha=0.77, iterations=4000
Running GRASP with dataset_size=100, alpha=0.77, iterations=7000
Running GRASP with dataset_size=100, alpha=0.77, iterations=10000
Running GRASP with dataset_size=100, alpha=0.78, iterations=1000
Running GRASP with dataset_size=100, alpha=0.78, iterations=4000
Running GRASP with dataset_size=100, alpha=0.78, iterations=7000
Running GRASP with dataset_size=100, alpha=0.78, iterations=10000
Running GRASP with dataset_size=100, alpha=0.79, iterations=1000
Running GRASP with dataset_size=100, alpha=0.79, iterations=4000
Running GRASP with dataset_size=100, alpha=0.79, iterations=7000
Running GRASP with dataset_size=100, alpha=0.79, iterations=10000
Running GRASP with dataset_size=100, alpha=0.80, iterations=1000
